Feature,Importance
last_active_days,0.0566853429416409
churn_risk_score,0.05565624955235304
retention_score,0.055045891368089704
skip_rate,0.03523753056067819
loyalty_score,0.02839644170352043
satisfaction_score,0.02062966742056677
daily_listening_hours,0.018297227754524845
user_value_score,0.009519330434238069
music_addiction_score,0.009182476220071782
lifetime_value,0.008962881356754143
engagement_score,0.008760384176860054
playlist_count,0.008487462719561913
liked_songs,0.007649314035486068
subscription_months,0.007030388787443345
session_duration,0.0057608303833729235
premium_renewals,0.00531192661002755
notifications_clicked,0.005255844629922163
search_frequency,0.005199066862569034
ads_clicked,0.005135753255626178
followed_artists,0.005102455678683622
monthly_spending,0.005011267364144723
engagement_index,0.004936366519522046
songs_played_per_day,0.004860571988212549
age,0.004731064828424104
premium_user,0.004645895599201362
monthly_subscription_fee,0.004438733588669773
shares_per_month,0.004152442518729577
listening_days_per_week,0.0028593126763707664
